Date/Time,Word Count,en,zh-Hans-CN
2020.08.25-21.42.33,13,13,0
2020.08.25-21.46.36,13,13,13
2020.08.25-22.25.28,19,19,13
2020.08.25-22.26.16,19,19,19
2020.08.25-22.35.49,20,20,19
2020.08.25-22.41.44,20,20,20
2020.08.26-12.29.05,17,17,0
2020.08.26-12.31.36,17,17,17
2020.08.26-13.05.34,20,20,17
2020.08.26-13.06.23,20,20,20
2020.09.12-13.57.17,57,57,20
2020.09.12-14.00.31,57,57,57
2020.09.12-14.05.42,63,63,57
2020.09.12-14.06.16,63,63,63
2020.09.12-14.35.23,64,64,63
2020.09.12-14.35.47,64,64,64
2020.09.12-17.15.43,70,70,64
2020.09.12-17.16.16,70,70,70
2020.09.15-21.29.17,81,81,70
2020.09.15-21.30.19,81,81,81
2020.09.21-23.04.18,99,99,81
2020.09.21-23.05.37,99,99,99
2020.09.27-18.45.39,107,107,99
2020.09.27-18.46.51,107,107,107
2020.09.28-10.13.11,109,109,107
2020.09.28-10.13.46,109,109,109
2020.10.05-16.21.45,121,121,109
2020.10.05-16.23.59,121,121,121
2020.10.25-20.20.21,129,129,121
2020.10.25-20.21.06,129,129,129
2020.11.07-17.11.39,139,139,129
2020.11.07-17.42.22,159,159,129
2020.11.07-17.44.45,159,159,159
2020.11.08-16.45.36,179,179,158
2020.11.08-16.47.56,179,179,179
2020.11.15-20.59.51,198,198,179
2020.11.15-21.01.13,198,198,198
2020.11.21-15.20.54,211,211,198
2020.11.21-15.22.05,211,211,211
2020.11.22-15.10.42,244,244,211
2020.11.22-15.13.23,244,244,244
2020.11.22-22.57.11,244,244,237
2020.11.22-23.00.02,244,244,244
2020.11.28-17.31.18,246,246,244
2020.11.28-17.31.47,246,246,246
2020.11.28-20.49.49,256,256,244
2020.11.28-20.50.48,256,256,256
2021.01.09-18.17.25,280,280,256
2021.01.09-18.19.47,280,280,280
